,index,text,entities,relations,Comments,id,label,start_offset,end_offset
0,1,"This post is also available in:      日本語 (Japanese)  CTB-Locker is a well-known ransomware Trojan used by crimeware groups to encrypt files on the victim's endpoints and demand ransom payment to decrypt the files back to their original state, but most antiviruses detect it by mistake as CryptoLocker (only one vendor correctly detects it as CTB-Locker).","[{'id': 45800, 'label': 'malware', 'start_offset': 288, 'end_offset': 300}, {'id': 45801, 'label': 'malware', 'start_offset': 53, 'end_offset': 63}, {'id': 45802, 'label': 'malware', 'start_offset': 342, 'end_offset': 352}]",[],[],45800,malware,288,300
1,2,The attack vector is very basic and repeats itself: It begins with a spear phishing email sent with SCR attachments (double zipped).,"[{'id': 48941, 'label': 'attack-pattern', 'start_offset': 69, 'end_offset': 115}]",[],[],48941,attack-pattern,69,115
2,3,Once executed by the user the first stage malware downloads and executes the ransomware from a fixed hardcoded server list.,[],[],[],,,,
3,4, The first known campaign was launched by Crimeware on November 2014.,"[{'id': 45806, 'label': 'TIME', 'start_offset': 55, 'end_offset': 68}, {'id': 48942, 'label': 'malware', 'start_offset': 42, 'end_offset': 51}]",[],[],45806,TIME,55,68
4,5,The first stage downloaded the ransomware from these sites:,[],[],[],,,,
5,6," A very serious campaign was launched between January 19, 2015 and January 20, 2015, and  Palo Alto Networks Enterprise Security Platform has discovered more than 1000 unique attacks since.","[{'id': 22, 'label': 'identity', 'start_offset': 90, 'end_offset': 108}, {'id': 44570, 'label': 'TIME', 'start_offset': 46, 'end_offset': 62}, {'id': 44571, 'label': 'TIME', 'start_offset': 67, 'end_offset': 83}]",[],[],22,identity,90,108
6,7,"The attacker used a polymorphic malware builder to generate malware with a unique hash for each victim, preventing signature-based solutions from detecting the new attacks before it was too late for the victim.",[],[],[],,,,
7,8,"This tactic is a nightmare for legacy security products that are based on legacy techniques such as bytes signatures, since they can only detect attacks after the damage is done instead of preventing it as a true solution should.",[],[],[],,,,
8,9, Palo Alto Networks Enterprise Security Platform offers multilayer protection to prevent this attack along with other attacks without the need for prior knowledge of the specific attack.,"[{'id': 31, 'label': 'identity', 'start_offset': 1, 'end_offset': 19}]",[],[],31,identity,1,19
9,10, We can see here that server hostnames were changed but they didn’t change the server IP address – see the attached file with results for files from last week’s campaign from VirusTotal.,"[{'id': 45807, 'label': 'SOFTWARE', 'start_offset': 175, 'end_offset': 185}]",[],[],45807,SOFTWARE,175,185
10,11,Most legacy security programs could not detect this malware at the time it was posted.,[],[],[],,,,
11,12,"If you re-test these hashes again from last week you can see an average of 49/57 engines that detect last week’s threat – but that’s too little, too late for anyone who already lost data.",[],[],[],,,,
12,13," This campaign started earlier today, and the malware uses the same techniques and even the same IOCs:  And only added two new hostnames:","[{'id': 45808, 'label': 'TIME', 'start_offset': 23, 'end_offset': 36}]",[],[],45808,TIME,23,36
13,14, By now you shouldn’t be surprised that one of them is on the same known malicious IP address.,[],[],[],,,,
14,15,"We found 147 new unique pieces of malware today alone, two of them fully undetectable by the legacy security solutions in VirusTotal and most of them barely detected by one vendor (few have 4/57 detection rate).","[{'id': 44574, 'label': 'SOFTWARE', 'start_offset': 122, 'end_offset': 132}]",[],[],44574,SOFTWARE,122,132
15,16,See below:,[],[],[],,,,
16,17, So basically you have two choices:,[],[],[],,,,
17,18, The most surprising fact about this campaign is that almost all the IOCs haven’t been changed:  For those still using legacy solutions we’ve attached two lists of SHA256 hashes in a text file format for reference.,[],[],[],,,,
18,19,"One list shows the new campaign, which continues to progress.",[],[],[],,,,
19,20,"The other list is of last week’s campaign by the same attackers (exhaustive or close to it).  Palo Alto Networks Enterprise Security Platform would have stopped this ransomware attack campaign thanks to the platform’s unique integration between the network, endpoint and the cloud to maximize security.","[{'id': 45809, 'label': 'identity', 'start_offset': 94, 'end_offset': 112}]",[],[],45809,identity,94,112
20,21,"Attacks aren't getting any less sophisticated, so it is time to leave legacy security solutions behind and upgrade to real, prevention-based security.",[],[],[],,,,
21,22," Sign up to receive the latest news, cyber threat intelligence and research from us  Please enter your email address!",[],[],[],,,,
22,23," Please mark, I'm not a robot!",[],[],[],,,,
23,24,"By submitting this form, you agree to our Terms of Use and acknowledge our Privacy Statement.  ",[],[],[],,,,
24,25,"This post is also available in:      日本語 (Japanese)  Over the past six months, we’ve seen a major increase in the number of attack campaigns with the ultimate goal of mining cryptocurrency.",[],[],[],,,,
25,26,It’s a subject Unit 42 has been tracking in the past year:,"[{'id': 45810, 'label': 'identity', 'start_offset': 15, 'end_offset': 22}]",[],[],45810,identity,15,22
26,27," So, what is driving a widespread shift from attackers and creating a significant trend in the industry?",[],[],[],,,,
27,28,There are three factors at work:,[],[],[],,,,
28,29," To answer the question in more detail, it’s important to put yourself into the criminal’s shoes and consider what alternative routes they have to monetize infections.",[],[],[],,,,
29,30,"In this brief, we’ll share how this trend came to fruition, why it’s so prevalent, and how security professionals and defenders can keep an eye out for this rising type of threat.",[],[],[],,,,
30,31, How Attacks Monetize Infections,[],[],[],,,,
31,32,"While targeted attacks gain the most attention from researchers and media, the majority of malware infections are untargeted and even indiscriminate.",[],[],[],,,,
32,33,"Instead of seeking out specific targets, many criminals aim to infect as many systems as possible and then turn those infections into cash.",[],[],[],,,,
33,34,"This has been true for over a decade, although the mechanisms available to criminals have shifted in that time.",[],[],[],,,,
34,35,"To understand where we are now, it helps to look at how we got here, and to look at the evolution of common cybercriminal activities.",[],[],[],,,,
35,36,"Back in the early 2000s, some of the earliest “botnet herders” made their income by relaying spam emails through infected computers.","[{'id': 45768, 'label': 'attack-pattern', 'start_offset': 93, 'end_offset': 104}, {'id': 44575, 'label': 'TIME', 'start_offset': 12, 'end_offset': 23}]",[],[],45768,attack-pattern,93,104
36,37,"Over time, that business became less profitable due to anti-spam controls and ISPs preventing infected systems from directly relaying emails.",[],[],[],,,,
37,38,"In the mid-2000s, criminals made great profits from using Banking Trojans to steal credentials for online banking websites, and subsequently draining the accounts’ associated funds.","[{'id': 45811, 'label': 'TIME', 'start_offset': 7, 'end_offset': 16}, {'id': 45812, 'label': 'attack-pattern', 'start_offset': 77, 'end_offset': 94}]",[],[],45811,TIME,7,16
38,39,"This account takeover activity continues today, but various anti-fraud measures and law enforcement actions have made it less profitable and riskier for criminals.",[],[],[],,,,
